"ID","Year","State","Population","IMR","IMR_Hispanic","IMR_White","IMR_Black","IMR_Native","IMR_Asian","IMR_20","IMR_20_29","IMR_30_39","IMR_40","Expenditure","Expenditure_edu","Expenditure_edu_education","Expenditure_edu_libraries","Expenditure_social","Expenditure_social_health","Expenditure_social_hospitals","Expenditure_social_insurance","Expenditure_social_veterans","Expenditure_social_welfare","Expenditure_env","Expenditure_env_housing","Expenditure_env_parks","Expenditure_env_resources","Expenditure_env_sewerage","Expenditure_env_waste","President","Governor","Legislature","Gini","Poverty"
25,2000,"MO",5595211,7.2,5.7,5.9,16,5.3,4.1,11.2,7.2,6,9.1,27953327,9342893,9224225,118668,6303139,790330,1376403,53599,41616,4041191,1580022,300692,431684,291430,412447,143769,"D","D","S",0.449,10
26,2000,"MT",902195,6,7.8,5.9,,11.8,,10.2,6.2,5.8,10.5,4983156,1656997,1640564,16433,908060,246150,96618,9307,750,555235,390236,62331,49747,183878,45179,49101,"D","R","R",0.426,8.6
27,2000,"NE",1711263,7.2,7.6,6.1,13.2,17.1,7,9.7,6.8,6,8,10831429,3299510,3266696,32814,1978865,121811,399480,30366,1960,1425248,677892,112051,126315,257773,117166,64587,"D","R","R",0.43,7.8
28,2000,"NV",1998257,6.5,5.5,5.2,11.9,15.6,5.3,8.8,6,5.5,4.5,11229943,3070768,3020130,50638,1659099,172083,564940,35015,1098,885963,877995,147363,370497,238948,107614,13573,"D","R","S",0.434,7.6
29,2000,"NH",1235786,5.8,5.7,4.5,,,6,9.6,5,4.7,5.8,6222433,2082926,2059365,23561,1304963,126450,43798,21630,245,1112840,341668,91404,54847,44876,69434,81107,"D","D","R",0.417,4.9
30,2000,"NJ",8414350,6.3,6.3,4.4,14,,3.5,10,6.9,5.4,9.3,54590246,19036475,18787558,248917,8201538,1017852,1313512,36920,10689,5822565,3632790,751574,692065,247388,981172,960591,"D","R","R",0.458,6.4
31,2000,"NM",1819046,6.7,6.3,6.9,14.7,6.7,,7.7,6.1,6.8,9.3,11194843,3726893,3695920,30973,2377860,328711,483327,49275,1437,1515110,711445,91163,207206,182069,126734,104273,"D","R","D",0.457,13.8
32,2000,"NY",18976457,6.4,5.8,4.8,11.4,7.2,3.5,9.4,6,5.7,7.4,171858216,41399396,40630366,769030,41061706,3492012,8075704,300983,7856,29185151,9141983,2979475,1783119,440747,1786347,2152295,"D","R","S",0.495,10.9
33,2000,"NC",8049313,8.6,5.9,6.7,15.1,11.7,6.8,12,8.8,7.2,9.8,46134556,14327409,14163565,163844,11948637,1713098,3823391,105756,7159,6299233,3114092,603236,604575,749361,597593,559327,"D","D","D",0.458,10.7
34,2000,"ND",642200,8.3,12.7,7,,16.1,,10.5,7.6,7.2,21.9,4040996,1263426,1254617,8809,678591,48187,42548,7370,647,579839,369651,92315,124189,104297,18679,30171,"D","R","R",0.434,7
