"ID","Year","State","Population","IMR","IMR_Hispanic","IMR_White","IMR_Black","IMR_Native","IMR_Asian","IMR_20","IMR_20_29","IMR_30_39","IMR_40","Expenditure","Expenditure_edu","Expenditure_edu_education","Expenditure_edu_libraries","Expenditure_social","Expenditure_social_health","Expenditure_social_hospitals","Expenditure_social_insurance","Expenditure_social_veterans","Expenditure_social_welfare","Expenditure_env","Expenditure_env_housing","Expenditure_env_parks","Expenditure_env_resources","Expenditure_env_sewerage","Expenditure_env_waste","President","Governor","Legislature","Gini","Poverty"
123,2002,"MA",6349097,4.8,6.3,4,10.2,,3.4,8.7,5,4.2,6.3,51125208,13672748,13443047,229701,9011808,1995701,1157674,98886,28306,5731241,2748651,1344441,279531,259390,836484,28805,"R","R","D",0.461,7
124,2002,"MI",9938444,8.1,7.3,6.3,16.7,4.9,5.2,12.7,8.2,7,10.8,69686780,24096128,23745486,350642,15706532,3276613,2365973,226566,0,9837380,3476185,383096,1061606,575166,1442145,14172,"R","R","R",0.444,9.6
125,2002,"MN",4919479,5.3,5.7,4.5,8.4,9.5,5.6,8.3,5.2,4.4,6.2,40515667,11435289,11266335,168954,9572994,784524,1180564,126760,7777,7473369,2710727,763197,732795,585157,613165,16413,"R","I","S",0.43,6.5
126,2002,"MS",2844658,10.2,7.2,7.1,14.7,14.8,5.5,13.5,10,9.4,13,17284802,5143048,5100683,42365,5471084,274402,1865839,70498,23992,3236353,658611,144524,159518,232712,116372,5485,"R","D","D",0.471,16.8
127,2002,"MO",5595211,8.5,7,6.5,15.7,11.2,6.1,12.3,7.7,6.3,10.6,33036367,10720102,10556277,163825,7982873,702516,1730692,29931,0,5519734,1638159,467040,430414,277619,455721,7365,"R","D","R",0.449,10
128,2002,"MT",902195,7.5,9.7,6.9,,9.1,,11.2,7.1,5.6,15.5,5616294,1810637,1792025,18612,1063348,290174,87915,13507,784,670968,398946,82302,43064,216461,50796,6323,"R","R","R",0.426,8.6
129,2002,"NE",1711263,7,6.2,5.6,15.2,14.4,4.8,10.2,6.2,5.9,4.6,12492121,3824024,3797037,26987,2359652,138569,468136,48155,1919,1702873,601352,113011,147261,223668,113543,3869,"R","R","R",0.43,7.8
130,2002,"NV",1998257,6.1,4.4,5.4,12.8,10.6,4,7.6,5.6,5.3,6.6,13970658,3755777,3678635,77142,2101266,256822,665836,54214,4018,1120376,968949,195174,381011,214209,178190,365,"R","R","S",0.434,7.6
131,2002,"NH",1235786,5,,4.2,,,5.8,6.5,4.2,4,7,7065915,2464125,2439260,24865,1236089,137748,45807,22500,100,1029934,341693,154513,63938,48879,73737,626,"R","D","R",0.417,4.9
132,2002,"NJ",8414350,5.7,6.1,3.9,13.1,,3.7,10.7,6.2,4.9,8.2,64289465,20799094,20543653,255441,9816027,1239632,1496652,459717,11858,6608168,3459632,940573,961318,409984,1111870,35887,"R","D","S",0.458,6.4
133,2002,"NM",1819046,6.1,5.9,6.1,11.9,6,4.3,8.4,5.7,4.8,11.7,12688548,4210403,4175592,34811,2963047,368268,460797,55367,1818,2076797,633399,91602,205094,207462,119439,9802,"R","R","D",0.457,13.8
134,2002,"NY",18976457,6,5.5,4.6,11.2,12.7,3.4,9.1,5.7,5.6,7.5,198535830,48477352,47723251,754101,45860210,3819062,9189139,340675,8125,32503209,8893563,3765621,2006117,455151,2244464,422210,"R","R","S",0.495,10.9
135,2002,"NC",8049313,8.1,6.1,6.2,15.1,11.2,4.8,11.8,8.4,6.8,8.5,51838538,15427101,15261615,165486,13867854,1998981,4088445,112717,10566,7657145,2761406,760343,645242,644260,650510,61051,"R","D","S",0.458,10.7
136,2002,"ND",642200,6.3,,6.8,17,11.5,,9.6,7.7,6.4,,4190494,1321974,1311273,10701,773225,59264,44424,5122,630,663785,322457,53484,94934,140052,30969,3018,"R","R","R",0.434,7
137,2002,"OH",11353140,7.9,8.2,6.3,15.4,11,5.1,11.9,7.7,6.3,10,80851448,24033441,23623234,410207,17968819,3079714,2373885,235487,1429,12278304,4545903,1448573,1038388,420215,1598470,40257,"R","R","R",0.449,9.8
138,2002,"OK",3450654,8.2,5.6,7.2,14.3,7.5,5.1,9.9,7.6,6.6,13.9,20776022,6970783,6903663,67120,4567149,470344,834967,70064,0,3191774,949524,178111,301700,189152,269166,11395,"R","R","D",0.46,12.8
139,2002,"OR",3421399,5.7,4.7,5.6,9.3,9.7,4.8,9.1,5.5,4.7,5.1,27731191,7667366,7542824,124542,6324015,769376,1424243,70255,15000,4045141,1805191,483101,317815,395248,601563,7464,"R","D","S",0.444,9.2
140,2002,"PA",12281054,7.6,8,6,14.1,11.7,3.6,11.8,7.6,5.9,8.7,86261928,24478899,24295573,183326,19885260,3003948,2148955,243938,1993,14486426,4506329,1645075,677678,592488,1562715,28373,"R","R","R",0.455,8.2
141,2002,"RI",1048319,7.1,8.8,5.3,11.8,,9.6,9.9,5.7,7.1,11.7,7938761,2205617,2180271,25346,1972860,184603,114204,6372,1013,1666668,379635,155513,63751,47135,82025,31211,"R","R","D",0.442,7.8
142,2002,"SC",4012012,9.3,5.3,6.1,14.5,,7.5,12,9,7.1,11.2,28104123,8452576,8379856,72720,7598092,779193,2364115,81062,0,4373722,1021635,270075,261275,246079,229493,14713,"R","D","R",0.462,11.9
143,2002,"SD",754844,6.7,5.5,5.7,,13,,8.4,7.6,5,,4275780,1376741,1360120,16621,794300,95543,75162,17940,811,604844,310381,50917,103575,109362,43969,2558,"R","R","R",0.439,8.4
144,2002,"TN",5689283,9.3,6.6,7.1,16.9,,6.5,11.9,9.1,7.6,11.6,36638052,9563811,9467645,96166,9839864,1038348,2261897,78714,2638,6458267,1566251,496139,441600,246537,366022,15953,"R","R","D",0.468,12.4
145,2002,"TX",20851820,6.3,5.4,5.7,11.9,7,4.4,8.7,6,5.4,7.3,129635627,46058685,45702517,356168,25323639,2685724,7418558,274053,42079,14903225,6482846,1564490,2050467,1008643,1776796,82450,"R","R","R",0.474,13.3
146,2002,"UT",2233169,5.6,6.4,4.8,8.2,8.3,7.9,7.2,5.2,4.2,8.6,15523271,5303614,5196240,107374,2466349,328753,529725,12734,0,1595137,964357,179679,323329,215055,236584,9710,"R","R","R",0.41,7.8
147,2002,"VT",608827,4.4,,5,,,,6.1,5.7,4.1,,4218112,1474346,1460238,14108,847000,78036,9485,2664,0,756815,230359,90095,30927,66499,41556,1282,"R","D","S",0.42,6.7
148,2002,"VA",7078515,7.4,4.9,5.7,14.2,12.9,4.9,11,7.7,6.1,11.3,43687513,15383240,15148890,234350,8007193,1134990,2048955,146488,2958,4673802,2334376,702324,631944,218721,751124,30263,"R","D","R",0.456,6.8
149,2002,"WA",5894121,5.8,5.2,5.3,9.4,10.7,4.3,8.9,5.7,4.6,8.1,50431244,13136169,12865672,270497,10361847,1851162,2161826,144811,5569,6198479,3448550,896955,865828,718570,910597,56600,"R","D","S",0.443,8
150,2002,"WV",1808344,8.9,,7.7,12.5,,,13,7.5,6.3,9.4,11957983,3547872,3518821,29051,2689337,231205,285092,32104,1494,2139442,538688,114761,113945,178922,125871,5189,"R","D","D",0.447,12.7
151,2002,"WI",5363675,6.8,6.9,5.5,17.5,12.5,6.7,12,6.9,5.3,7.3,39261767,12781997,12564896,217101,7771510,1229637,851907,115471,14871,5559624,2303143,314224,654798,541637,775671,16813,"R","R","R",0.424,7.3
152,2002,"WY",493782,6.7,7,5.6,,14,,10.4,5.8,4.3,,4337409,1300660,1277482,23178,926611,112886,403430,29029,0,381266,298020,8507,77722,160756,44049,6986,"R","R","R",0.413,6.3
153,2002,"DC",572059,11.3,7.2,3.8,14.8,,,13.9,10.9,10.1,10.8,7832123,1201393,1174741,26652,2026410,377946,176920,9182,0,1462362,602314,88096,303049,0,211169,0,"R",,,0.537,16.3
154,2003,"AL",4447100,8.6,7.9,6.7,13.5,16.9,4.4,11.7,8.6,7.5,11.2,,,,,,,,,,,,,,,,,"R","R","D",0.472,12.6
155,2003,"AK",626932,6.9,2.9,5.1,6.1,8.5,5.2,8.7,6.3,5.7,5.7,,,,,,,,,,,,,,,,,"R","R","R",0.417,8.2
156,2003,"AZ",5130632,6.5,6.5,6,11.1,8.2,6.8,8.1,6.5,5.8,10.1,,,,,,,,,,,,,,,,,"R","D","R",0.454,10.1
157,2003,"AR",2673400,8.7,6,7.6,13.2,,5.5,11.1,8.4,6.9,9.8,,,,,,,,,,,,,,,,,"R","R","D",0.46,13.1
158,2003,"CA",33871648,5.2,5,4.6,11.3,6.4,4.1,7.1,5,4.9,7.3,,,,,,,,,,,,,,,,,"R","R","D",0.466,9.7
159,2003,"CO",4301261,6.1,6.7,5.1,16.3,7.7,5.7,8.6,6.6,4.7,6.6,,,,,,,,,,,,,,,,,"R","R","R",0.45,8.4
160,2003,"CT",3405565,5.3,7.1,4.4,12.1,,2.7,10.1,6.1,4.8,5.8,,,,,,,,,,,,,,,,,"R","R","D",0.48,5.9
161,2003,"DE",783600,9.4,6.2,7.1,15,,5.3,10.1,9.2,7.9,10,,,,,,,,,,,,,,,,,"R","D","S",0.434,7.6
162,2003,"FL",15982378,7.5,5.1,5.8,13.1,8.4,6.1,10.9,7.2,6.1,10.3,,,,,,,,,,,,,,,,,"R","R","R",0.467,9
163,2003,"GA",8186453,8.5,6.2,6.3,13.6,,5.5,12.5,8.6,7.1,11.7,,,,,,,,,,,,,,,,,"R","R","S",0.461,11.1
164,2003,"HI",1211537,7.6,7.1,4.6,15,,7.3,12.1,6.4,6.4,7.5,,,,,,,,,,,,,,,,,"R","R","D",0.438,7.1
165,2003,"ID",1293953,6.3,6.2,6.1,,8.7,5.3,8.8,5.6,6.2,11.1,,,,,,,,,,,,,,,,,"R","R","R",0.421,9.3
166,2003,"IL",12419293,7.7,6,5.9,15.5,,4.6,11.6,7.5,6.6,7,,,,,,,,,,,,,,,,,"R","D","D",0.462,9.1
167,2003,"IN",6080485,7.7,6.9,6.9,15,,5.5,11.3,7.7,6.4,11.8,,,,,,,,,,,,,,,,,"R","D","S",0.432,9
168,2003,"IA",2926324,5.7,5.8,5.1,10.4,,5.3,7.4,5.4,4.5,9,,,,,,,,,,,,,,,,,"R","D","R",0.424,7.3
169,2003,"KS",2688418,6.6,6.2,6.6,14.1,11,6.3,10.6,6.9,6.1,7.1,,,,,,,,,,,,,,,,,"R","D","R",0.441,8.6
170,2003,"KY",4041769,6.8,6.2,6.5,11.6,,5.3,10.2,6.9,5.3,9.6,,,,,,,,,,,,,,,,,"R","D","S",0.46,13.1
171,2003,"LA",4468976,9.2,5.1,7.2,14,7.7,6.9,12.8,9.9,8.3,11,,,,,,,,,,,,,,,,,"R","R","D",0.475,14.4
172,2003,"ME",1274923,5.1,,4.9,,,7.8,7.9,4.4,4.8,10.7,,,,,,,,,,,,,,,,,"R","D","D",0.428,8.7
173,2003,"MD",5296486,8.2,5.7,5.5,13.6,9.2,4.1,12.1,8.3,7.1,8.7,,,,,,,,,,,,,,,,,"R","R","D",0.433,5.3
174,2003,"MA",6349097,4.7,6.6,3.9,10.2,,3.4,8.5,4.9,4.1,6.9,,,,,,,,,,,,,,,,,"R","R","D",0.461,7
175,2003,"MI",9938444,8.6,7.3,6.2,16.8,3.7,5.1,12.2,8.1,6.8,11.2,,,,,,,,,,,,,,,,,"R","D","R",0.444,9.6
176,2003,"MN",4919479,4.6,5,4.4,8.7,8.8,3.6,7,5,4.2,6,,,,,,,,,,,,,,,,,"R","R","S",0.43,6.5
177,2003,"MS",2844658,10.9,4.9,6.9,14.7,11.6,7.7,12.8,10.1,9.3,9.1,,,,,,,,,,,,,,,,,"R","D","D",0.471,16.8
178,2003,"MO",5595211,7.9,8.2,6.7,14.8,7.9,6.7,12,7.8,6.5,10.7,,,,,,,,,,,,,,,,,"R","D","R",0.449,10
179,2003,"MT",902195,7.2,12.4,5.8,,7.8,,10.6,6.5,4.1,15.7,,,,,,,,,,,,,,,,,"R","R","R",0.426,8.6
180,2003,"NE",1711263,5.5,6.2,5.5,16.2,11.1,4,10.5,5.6,6.3,7.5,,,,,,,,,,,,,,,,,"R","R","R",0.43,7.8
181,2003,"NV",1998257,5.7,4.5,5.8,13,8,4.8,8,5.8,5.6,7.3,,,,,,,,,,,,,,,,,"R","R","S",0.434,7.6
182,2003,"NH",1235786,4.2,4.2,4.8,,,4.3,7.9,5.1,4.3,5.8,,,,,,,,,,,,,,,,,"R","R","R",0.417,4.9
183,2003,"NJ",8414350,5.6,5.8,3.8,12.2,,4.2,10.3,6,4.6,6.7,,,,,,,,,,,,,,,,,"R","D","S",0.458,6.4
184,2003,"NM",1819046,5.7,5.5,6.5,11.6,7,5.1,8.6,5.7,5,9.8,,,,,,,,,,,,,,,,,"R","D","D",0.457,13.8
185,2003,"NY",18976457,6.1,5.5,4.7,11.7,12.4,3.8,9.6,5.8,5.6,8.1,,,,,,,,,,,,,,,,,"R","R","S",0.495,10.9
186,2003,"NC",8049313,8.2,6.6,6.1,15.4,11.3,5.2,11.4,8.4,7.2,9.3,,,,,,,,,,,,,,,,,"R","D","S",0.458,10.7
187,2003,"ND",642200,7.3,,5.9,21.1,8.8,,12,6.3,5.6,,,,,,,,,,,,,,,,,,"R","R","R",0.434,7
188,2003,"OH",11353140,7.8,7.9,6.3,15.6,9.9,4.5,11.9,7.8,6.2,10.1,,,,,,,,,,,,,,,,,"R","R","R",0.449,9.8
189,2003,"OK",3450654,7.7,6.1,7.5,13.8,8,4.5,10.6,7.7,6.6,16.6,,,,,,,,,,,,,,,,,"R","D","D",0.46,12.8
190,2003,"OR",3421399,5.6,4.6,5.6,10.1,12.6,5.4,8.1,5.5,5.1,5.5,,,,,,,,,,,,,,,,,"R","D","S",0.444,9.2
191,2003,"PA",12281054,7.3,7.5,6,13.9,13,3.8,12,7.5,6.1,9.1,,,,,,,,,,,,,,,,,"R","D","R",0.455,8.2
192,2003,"RI",1048319,6.7,6.3,5.4,11.6,,7.6,9.4,5.5,6.5,10.4,,,,,,,,,,,,,,,,,"R","R","D",0.442,7.8
193,2003,"SC",4012012,8.3,6.4,6.2,14.4,9.9,8,11.9,8.9,7.6,13.5,,,,,,,,,,,,,,,,,"R","R","R",0.462,11.9
194,2003,"SD",754844,6.6,,5.8,,13.9,,10.6,7.7,4.6,10,,,,,,,,,,,,,,,,,"R","R","R",0.439,8.4
195,2003,"TN",5689283,9.2,6,7,17.3,,6,11.9,9,7.7,11.2,,,,,,,,,,,,,,,,,"R","D","D",0.468,12.4
196,2003,"TX",20851820,6.5,5.5,5.9,12.2,6.6,4.2,8.6,6.1,5.7,8,,,,,,,,,,,,,,,,,"R","R","R",0.474,13.3
197,2003,"UT",2233169,5,6.6,4.8,12.5,8.7,7.3,7.3,5.2,4.5,12.7,,,,,,,,,,,,,,,,,"R","R","R",0.41,7.8
198,2003,"VT",608827,5.2,,4.7,,,,7.1,4.4,4.6,,,,,,,,,,,,,,,,,,"R","R","S",0.42,6.7
199,2003,"VA",7078515,7.7,5.2,5.8,13.9,14.6,4.8,11.2,7.7,6.1,10.6,,,,,,,,,,,,,,,,,"R","D","R",0.456,6.8
200,2003,"WA",5894121,5.6,5.4,5.1,9.2,10.2,4.6,8.4,5.7,4.6,8.6,,,,,,,,,,,,,,,,,"R","D","S",0.443,8
201,2003,"WV",1808344,7.5,14.8,7.7,13.6,,,13.6,7.3,6.6,13.5,,,,,,,,,,,,,,,,,"R","D","D",0.447,12.7
202,2003,"WI",5363675,6.5,6,5.1,17.6,9.4,6.5,11.9,6.4,5.1,6.6,,,,,,,,,,,,,,,,,"R","D","R",0.424,7.3
203,2003,"WY",493782,5.4,6,6.8,,15.7,,12.3,6.6,4.7,14.7,,,,,,,,,,,,,,,,,"R","D","R",0.413,6.3
204,2003,"DC",572059,10.7,7.9,3.8,15.5,,,17.4,11.6,9.3,13.4,,,,,,,,,,,,,,,,,"R",,,0.537,16.3
205,2004,"AL",4447100,8.7,7.7,6.8,13.6,20,3.3,11.8,8.7,7.8,12.1,31268214,9516735,9437438,79297,9296727,1069953,3497716,81235,24106,4623717,1865051,430015,350291,239469,578604,266672,"R","R","D",0.472,12.6
206,2004,"AK",626932,6.6,3.3,5.3,7.5,8.6,6.5,9.1,6.1,5.9,8.8,10016276,2324508,2299325,25183,1675382,144673,96435,26168,33537,1374569,664491,193911,85027,248307,72095,65151,"R","R","R",0.417,8.2
207,2004,"AZ",5130632,6.7,6.7,6,11.2,8.4,6.6,8.6,6.7,5.5,11.1,36076186,10214466,10074945,139521,7025915,1355493,660279,53035,2740,4954368,2814857,413092,1028014,564387,499872,309492,"R","D","R",0.454,10.1
208,2004,"AR",2673400,8.4,6,7.2,13.6,,5.6,11,8.3,6.1,12.8,16350803,5521817,5449273,72544,4137128,345383,729555,49054,1249,3011887,944883,172722,171466,214278,211452,174965,"R","R","D",0.46,13.1
209,2004,"CA",33871648,5.2,5,4.6,11.4,6.9,4.1,7.2,5,4.8,6.9,328478435,85595322,84394809,1200513,65004634,11241212,13822047,328618,3586,39609171,24030434,6863363,4316181,4909493,4766715,3174682,"R","R","D",0.466,9.7
210,2004,"CO",4301261,6.2,7,5.2,16.3,6,5.2,9.4,6.6,5,6.3,34376676,9913682,9702426,211256,5675364,976499,1450407,64838,886,3182734,2424614,505496,951308,280787,605334,81689,"R","R","D",0.45,8.4
211,2004,"CT",3405565,5.4,7.4,3.9,12.7,,2.9,10.2,6.5,4.2,4.5,28924967,8879701,8752982,126719,6005901,677854,1076462,79095,0,4172490,1712636,552926,377280,94165,346452,341813,"R","R","D",0.48,5.9
212,2004,"DE",783600,8.6,6.1,6.5,16.8,,5.8,11.2,9.7,7.3,9.7,6921977,2215272,2191096,24176,1382507,291692,56802,13608,0,1020405,510768,107806,85363,89027,177696,50876,"R","D","S",0.434,7.6
213,2004,"FL",15982378,7,5.2,5.8,12.9,5.3,5.9,10.8,7.3,5.8,10.1,115302969,29889353,29429079,460274,25137033,3548287,5230882,98336,41092,16218436,10154424,1415193,2303488,2461916,2031853,1941974,"R","R","R",0.467,9
214,2004,"GA",8186453,8.5,5.5,6.1,13.3,,5.7,12.3,8.3,6.8,10.5,58471941,19407992,19276779,131213,13884272,1614762,3503953,156448,33966,8575143,3653796,753346,656911,539673,1185653,518213,"R","R","R",0.461,11.1
215,2004,"HI",1211537,5.8,7.9,3.9,15.5,,7,12.9,6.1,6,7.2,9888798,2515320,2487582,27738,2086803,429591,244076,44322,1525,1367289,827548,173242,200966,115450,176682,161208,"R","R","D",0.438,7.1
216,2004,"ID",1293953,6.1,6.2,6.1,,8.8,,9.3,5.5,6.4,8.3,8425980,2670920,2636444,34476,1999818,175343,540509,37836,0,1246130,573419,42248,97032,210665,126172,97302,"R","R","R",0.421,9.3
217,2004,"IL",12419293,7.5,6.2,5.9,15.3,8.2,4.5,11.5,7.5,6.6,6.6,97001009,28841317,28200645,640672,17198085,3101551,2297478,254847,10487,11533722,7071597,2301972,2362643,606979,1308826,491177,"R","D","D",0.462,9.1
218,2004,"IN",6080485,7.9,6.8,7.1,15.1,,4.3,11.4,7.7,6.8,9.8,39447528,13949550,13616006,333544,9206042,727338,2597071,139195,956,5741482,2469806,699739,410626,326394,813695,219352,"R","D","R",0.432,9
219,2004,"IA",2926324,5.1,5.2,5.1,11,9.3,6.8,7.3,5.5,4.6,8.1,20634486,7115193,7019541,95652,5244694,372775,1758467,31164,1614,3080674,1051572,140460,285817,252476,214972,157847,"R","D","S",0.424,7.3
220,2004,"KS",2688418,7.3,6.2,6.7,14.3,9.2,5.8,9.8,7.1,6.2,8.3,18352754,6162391,6080215,82176,3630145,472836,635721,17902,4628,2499058,972116,135940,207438,242389,278037,108312,"R","D","R",0.441,8.6
221,2004,"KY",4041769,6.8,7.6,6.4,10.9,,5.2,9.5,6.8,5.4,8.8,26818189,7842401,7747655,94746,6865815,579919,967492,50634,0,5267770,1395568,307129,263465,334640,304194,186140,"R","R","S",0.46,13.1
222,2004,"LA",4468976,10.3,5.7,7.1,13.9,6.3,6.3,13.2,9.8,7.7,12.1,31099486,8747399,8615618,131781,7877439,615328,3051246,109807,21944,4079114,2246095,482063,470844,561724,444354,287110,"R","D","D",0.475,14.4
223,2004,"ME",1274923,5.7,,5.8,10.8,,7.7,7.1,5.5,5.8,9.8,10014208,2891709,2862767,28942,2921308,461868,116832,34740,251,2307617,681727,198907,65540,186032,119420,111828,"R","D","D",0.428,8.7
224,2004,"MD",5296486,8.5,5.8,5.2,13.7,10.4,4.3,10.9,8.4,7,7.9,38410803,12701617,12505841,195776,7394383,1331345,405108,45850,2300,5609780,3230481,936622,745994,440135,607401,500329,"R","R","D",0.433,5.3
225,2004,"MA",6349097,4.8,6.5,4,10,9.9,3.7,9.4,5,4.2,6.1,57594942,14850266,14621613,228653,12351210,791043,1136044,93517,25124,10305482,3394219,1588350,323728,258622,817607,405912,"R","R","D",0.461,7
226,2004,"MI",9938444,7.6,7.6,6.2,16.4,6.8,5.1,11.6,8,6.9,11.3,77327278,27443755,27082591,361164,17269037,4292900,2633731,97735,0,10244671,4385636,765197,930307,529908,1652869,507355,"R","D","R",0.444,9.6
227,2004,"MN",4919479,4.6,4.3,4.3,8.9,8.8,3.9,6.8,4.9,4.1,6.3,41538241,12136107,11950523,185584,10628188,765374,1387670,143805,9163,8322176,2882212,742862,797538,559291,488215,294306,"R","R","S",0.43,6.5
228,2004,"MS",2844658,9.9,4.6,7,15.6,17.1,6.1,14.1,10.4,9.6,7.2,19383241,5661289,5611259,50030,6245959,300764,2040983,79832,25780,3798600,919462,228753,180694,256573,136226,117216,"R","R","D",0.471,16.8
229,2004,"MO",5595211,7.5,6.6,6.6,13.8,5.6,6.1,10.7,7.6,6.4,10.3,35570876,11040070,10835989,204081,8763240,973117,2050113,25912,0,5714098,2015147,546198,473228,314070,538750,142901,"R","D","R",0.449,10
230,2004,"MT",902195,4.6,15.7,5.7,,8.5,,11.6,6.2,4.6,8.9,6198453,1954785,1934764,20021,1143480,272181,82442,11802,1164,775891,584201,97281,56221,320222,52867,57610,"R","R","S",0.426,8.6
231,2004,"NE",1711263,6.5,5.7,5.1,14,10.2,3.9,9.7,5.5,5.4,7.8,14069166,4068436,4040627,27809,2723699,183897,544390,50798,1601,1943013,848101,147998,272588,217269,142335,67911,"R","R","R",0.43,7.8
232,2004,"NV",1998257,6.2,4.5,5.6,12.2,5.8,5.6,8.9,5.6,5.2,5.9,16071443,4251544,4157446,94098,2510568,315958,664843,66370,8952,1454445,1173696,227417,500974,203468,223325,18512,"R","R","S",0.434,7.6
233,2004,"NH",1235786,5.6,5.5,4.8,10.9,,5.3,8.8,5.8,3.8,4.3,8230081,2782322,2753489,28833,1722285,127666,50196,28755,271,1515397,537481,213813,87980,64526,80492,90670,"R","R","R",0.417,4.9
234,2004,"NJ",8414350,5.6,5.2,3.7,11.9,,5,9.6,5.9,4.5,6.3,74335925,24999848,24650301,349547,13142527,1456033,1653932,66450,10036,9956076,4302620,925382,871021,275533,1160552,1070132,"R","D","D",0.458,6.4
235,2004,"NM",1819046,6.5,5.3,6.9,9.4,7.8,,8.1,5.8,5.4,8.2,14073992,4691545,4656593,34952,3455773,284061,575025,39108,1750,2555829,911017,110934,247181,252994,106444,193464,"R","D","D",0.457,13.8
236,2004,"NY",18976457,6.1,5.5,4.6,11.8,10.1,3.8,8.9,5.9,5.5,7.9,219339311,52456231,51655132,801099,54763724,4107146,9817622,313110,8159,40517687,12003921,4087960,2103066,440756,2875706,2496433,"R","R","S",0.495,10.9
237,2004,"NC",8049313,8.7,6.6,6.3,15.8,10.4,5.9,12,8.5,7.3,10.3,56687918,17433824,17240291,193533,14859599,2243408,3708020,137525,10508,8760138,3499483,785272,680335,639656,754764,639456,"R","D","D",0.458,10.7
238,2004,"ND",642200,5.9,,6,,8.7,,9.8,5.9,6.4,,4543185,1535960,1525358,10602,839883,71194,44063,5131,592,718903,354709,42705,91284,153699,34383,32638,"R","R","R",0.434,7
239,2004,"OH",11353140,7.5,6.5,6.4,15.6,6.3,4.2,12,7.9,6.2,10,89422131,26964329,26471749,492580,21053818,3364029,2816266,279692,1408,14592423,5468083,1772524,1018671,424938,1762051,489899,"R","R","R",0.449,9.8
240,2004,"OK",3450654,7.9,6,7.5,13,8,4.7,10.4,7.6,6.6,17.4,20970119,6993244,6920514,72730,4877371,464157,841098,44992,0,3527124,1086079,162200,262652,205772,320128,135327,"R","D","S",0.46,12.8
241,2004,"OR",3421399,5.5,5.5,5.5,8.6,11.6,5.9,8.9,5.5,4.9,8.5,28013928,7687849,7553023,134826,5251858,737445,893412,77666,20453,3522882,2020883,494367,377885,394160,623368,131103,"R","D","S",0.444,9.2
242,2004,"PA",12281054,7.3,7.6,5.8,13.6,16.8,3.7,11.3,7.7,5.8,9.3,94349754,29048648,28840563,208085,23074934,3275115,1989626,150061,10606,17649526,5178433,1691843,707467,639737,1500831,638555,"R","D","R",0.455,8.2
243,2004,"RI",1048319,5.4,7.4,4.5,10.8,,8.2,9.6,5.3,6.7,,8917740,2470384,2440805,29579,2249173,212494,108737,6476,14,1921452,489029,179496,66169,37389,108869,97106,"R","R","D",0.442,7.8
244,2004,"SC",4012012,9.3,7.3,6.4,14.2,,6.1,12.2,9.1,7.3,12,30573745,9102836,9012177,90659,8595512,814211,2772593,77985,0,4930723,1364971,347893,252418,223758,278693,262209,"R","R","R",0.462,11.9
245,2004,"SD",754844,7.9,,6.2,,13.1,,8.9,7.9,5,9.4,4659617,1442581,1423688,18893,926756,114458,80717,19495,1030,711056,364567,64315,98670,115866,51559,34157,"R","R","R",0.439,8.4
246,2004,"TN",5689283,8.6,6.5,7,16.3,,7.9,12.3,8.8,7.4,10.1,41948287,10038409,9912182,126227,11633284,1238264,2484812,95823,2949,7811436,1969684,542367,408658,248389,426103,344167,"R","D","S",0.468,12.4
247,2004,"TX",20851820,6.3,5.6,5.9,12.4,4.5,4.3,8.2,6.3,5.8,8.9,144689584,50077771,49706629,371142,29860412,2411108,7890088,246262,1109252,18203702,7512556,1564037,1479465,1278147,2240580,950327,"R","R","R",0.474,13.3
248,2004,"UT",2233169,5.2,5.8,4.5,12.9,8.9,7.7,7.8,4.5,4.7,11.3,16706672,5508748,5434099,74649,3027285,471837,533144,14902,0,2007402,1150110,243480,297411,207499,261225,140495,"R","R","R",0.41,7.8
249,2004,"VT",608827,4.5,,5.3,,,,7.6,4.4,5.9,9.2,4812173,1775423,1761066,14357,1129617,96624,14621,2800,0,1015572,306342,111437,28987,81627,51736,32555,"R","R","D",0.42,6.7
250,2004,"VA",7078515,7.4,5.4,6,13.7,11.2,4.5,12,7.7,6,10.3,47782335,16354541,16106758,247783,9942754,1303369,2247516,162671,14516,6214682,3343616,817974,786994,214370,892746,631532,"R","D","R",0.456,6.8
251,2004,"WA",5894121,5.5,4.9,5,9,9.6,4.1,9.3,5.3,4.4,8.9,54357830,14580274,14228429,351845,11402810,1928177,2825688,148275,5431,6495239,4276060,1005836,829830,721613,1195702,523079,"R","D","D",0.443,8
252,2004,"WV",1808344,7.6,,7.5,12,,,13.3,7,6.3,15.8,12201294,3773883,3737771,36112,2865188,287132,283023,29136,4221,2261676,659368,130191,108519,184701,176750,59207,"R","D","D",0.447,12.7
253,2004,"WI",5363675,5.9,6.1,5.1,16.4,7.9,6.6,12,6.3,5.1,5.9,42477302,13606232,13366233,239999,9278987,1298765,980842,95038,45975,6858367,2851624,444928,543561,672025,758800,432310,"R","D","R",0.424,7.3
254,2004,"WY",493782,8.8,5,6.8,,13.8,,9.5,6.8,5.4,14.9,5076956,1458757,1433835,24922,1237173,179211,517676,30272,0,510014,400100,14833,94762,194935,51084,44486,"R","D","R",0.413,6.3
